participant_id,system_name,snippet_signature,developer_position,PE gen,PE spec (java),Cyclomatic complexity,IMSQ (min),MIDQ (min),AEDQ (min),EAP (min),IMSQ (avg),MIDQ (avg),AEDQ (avg),EAP (avg),IMSQ (max),MIDQ (max),AEDQ (max),EAP (max),Readability,ITID (avg),NMI (avg),NMI (max),CIC (avg),CIC (max),CICsyn (avg),CICsyn (max),CR,NM (avg),NM (max),TC (avg),TC (min),TC (max),#assignments (avg),#blank lines (avg),#commas (avg),#comments (avg),#comparisons (avg),Identifiers length (avg),#conditionals (avg),Indentation length (avg),#keywords (avg),Line length (avg),#loops (avg),#identifiers (avg),#numbers (avg),#operators (avg),#parenthesis (avg),#periods (avg),#spaces (avg),Identifiers length (max),Indentation length (max),#keywords (max),Line length (max),#identifiers (max),#numbers (max),#characters (max),#words (max),Entropy,Volume,LOC,#assignments (dft),#commas (dft),#comments (dft),#comparisons (dft),#conditionals (dft),Indentation length (dft),#keywords (dft),Line length (dft),#loops (dft),#identifiers (dft),#numbers (dft),#operators (dft),#parenthesis (dft),#periods (dft),#spaces (dft),Comments (Visual X),Comments (Visual Y),Identifiers (Visual X),Identifiers (Visual Y),Keywords (Visual X),Keywords (Visual Y),Numbers (Visual X),Numbers (Visual Y),Strings (Visual X),Strings (Visual Y),Literals (Visual X),Literals (Visual Y),Operators (Visual X),Operators (Visual Y),Comments (area),Identifiers (area),Keywords (area),Numbers (area),Strings (area),Literals (area),Operators (area),Identifiers/comments (area),Keywords/comments (area),Numbers/comments (area),Strings/comments (area),Literals/comments (area),Operators/comments (area),Keywords/identifiers (area),Numbers/identifiers (area),Strings/identifiers (area),Literals/identifiers (area),Operators/literals (area),Numbers/keywords (area),Strings/keywords (area),Literals/keywords (area),Operators/keywords (area),Strings/numbers (area),Literals/numbers (area),Operators/numbers (area),Literals/strings (area),Operators/strings (area),Operators/literals (area),#aligned blocks,Extent of aligned blocks,#nested blocks (avg),#parameters,#statements,PBU,TNPU,AU,TAU
8,antlr4,org.antlr.v4.gui.TestRig.process(),professional developer,5,2,5,0.841463414634146,0,10,0.011211950885729,0.877865853658537,0,399.666666666667,0.025343482208061,0.9,0,1843,0.041675947124368,0.165990993380547,0.777777777777778,5.52238805970149,12,0.126984126984127,1,2.7056856187291,15,100,6.16269841269841,37,0.372924954371873,0.06454972243679,1,0.362068965517241,0.05,0.137931034482759,0.017857142857143,0.189655172413793,8.10625,0.090909090909091,0,0.581818181818182,33.2,0.018181818181818,2.90909090909091,0.127272727272727,0.068965517241379,1.01724137931034,0.690909090909091,2.54545454545455,22,0,3,95,11,1,196,21,4.95840784894497,2752.54571284378,60,58,58,60,58,58,1,55,56,58,54,58,58,56,56,55,97,58.8673469387755,96.9,58.6938775510204,96.9166666666667,58.5510204081633,97,59,97,58.8673469387755,0,0,96.8333333333333,58.5816326530612,0.055264411624583,0.604573606479276,0.064792758456408,0.000476417341591,0.023344449737971,0,0.112910909957122,10.9396551724138,1.17241379310345,0.008620689655172,0.422413793103448,0,2.04310344827586,0.107171000788022,0.000788022064618,0.038613081166273,0,0.186761229314421,0.007352941176471,0.360294117647059,0,1.74264705882353,49,0,237,0,4.83673469387755,NA,46,49,3,0,37,1,385,1,0.206185567010309
8,antlr4,"org.antlr.v4.runtime.atn.PredictionMode.hasSLLConflictTerminatingPrediction(org.antlr.v4.runtime.atn.PredictionMode,org.antlr.v4.runtime.atn.ATNConfigSet)",professional developer,5,2,5,0.517543859649123,0,10,0.006267448483207,0.627952091767881,0.433575,84.5,0.089445943548613,0.730769230769231,1,159,0.172624438614019,0.257516950368881,0.594594594594595,3.8125,9,3.64864864864865,14,6.66666666666667,27,97.875,7.25675675675676,45,0.512342090844638,0.149071198499986,0.930949336251263,0.166666666666667,0.023809523809524,0.083333333333333,0.82051282051282,0.125,9.5,0.142857142857143,0,0.571428571428571,25.5238095238095,0.047619047619048,1.9047619047619,0,0,0.708333333333333,0.19047619047619,2,35,0,3,102,5,0,834,93,4.94108624440353,602.315387771933,126,24,23,126,23,24,24,24,126,24,23,1,1,24,24,24,102.97619047619,124.971153846154,102.952380952381,124.596153846154,102.984126984127,124.788461538462,0,0,0,0,0,0,102.81746031746,124.5,0.891547049441786,0.067340067340067,0.009392167286904,0,0,0,0.010809852915116,0.07553170343868,0.01053468495329,0,0,0,0.012124826078315,0.139473684210526,0,0,0,0.160526315789474,0,0,0,1.15094339622642,NA,NA,NA,NA,NA,NA,126,239,3,2,12,1,141,0.666666666666667,0.472852233676976
8,antlr4,org.antlr.v4.runtime.misc.Array2DHashSet.removeFast(T),professional developer,5,2,4,0.75,0,138,0,0.791666666666667,0.5,138,0,0.833333333333333,1,138,0,0.571676015853882,0.56,6.70454545454545,12,0.22,1,3.54794520547945,11,100,4,37,0.589757104579692,0.365148371670111,1,0.192307692307692,0.133333333333333,0.192307692307692,0.043478260869565,0.153846153846154,4.10416666666667,0.181818181818182,0,0.636363636363636,18.1818181818182,0.045454545454546,2.18181818181818,0.181818181818182,0.307692307692308,0.576923076923077,0.227272727272727,2.63636363636364,10,0,2,104,13,2,74,6,4.74242278809581,765.709074034584,30,26,26,28,26,25,26,25,30,26,26,26,26,25,26,26,63.8333333333333,28.8923076923077,63.9666666666667,28.7692307692308,63.9,28.6,64,29,0,0,0,0,63.7666666666667,28.7384615384615,0.166371681415929,0.353982300884956,0.106194690265487,0.001769911504425,0,0,0.143362831858407,2.12765957446809,0.638297872340426,0.01063829787234,0,0,0.861702127659574,0.3,0.005,0,0,0.405,0.016666666666667,0,0,1.35,0,0,81,NA,NA,NA,11,11,2.5,1,18,1,1649,0.666666666666667,0
9,antlr4,org.antlr.v4.test.runtime.java.api.TestTokenStreamRewriter.testToStringStartStop2(),professional developer,6,4,2,0.5,0,388,0,0.833333333333333,0.5,1479.25,0,1,1,1843,0,0.238389030098915,0.78698224852071,4.44736842105263,12,0.165680473372781,1,7.40625,31,100,6.59171597633136,37,0,1,0,0.56,0.142857142857143,0.34,0.023255813953488,0,6.8062015503876,0,0.19047619047619,0.166666666666667,32.7142857142857,0,3.07142857142857,0.952380952380952,0.34,0.7,0.595238095238095,3.4047619047619,22,1,3,83,7,6,170,28,5.07177857198081,1860.67053761668,56,48,50,56,1,1,50,50,31,1,32,50,50,49,47,50,85,54.906976744186,84.9821428571429,54.7325581395349,84.9107142857143,54.7906976744186,84.9821428571429,54.9651162790698,84.9821428571429,54.9651162790698,0,0,84.8392857142857,54.8139534883721,0.069767441860465,0.495527728085868,0.016696481812761,0.008944543828265,0.15742397137746,0,0.101967799642218,7.1025641025641,0.239316239316239,0.128205128205128,2.25641025641026,0,1.46153846153846,0.033694344163658,0.018050541516246,0.317689530685921,0,0.205776173285199,0.535714285714286,9.42857142857143,0,6.10714285714286,17.6,0,11.4,0,0.647727272727273,NA,50,65,1,0,34,1,61,1,0.874226804123711
9,antlr4,"org.antlr.mojo.antlr4.GrammarDependencies.analyze(java.util.Set<java.io.File>,java.util.Set<java.io.File>,org.antlr.v4.Tool)",professional developer,6,4,4,0.75,0,0,0.000166585728977,0.910714285714286,0.809523809523809,1032.66666666667,0.180915354827616,1,1,2755,0.511819486105507,0.243095979094505,0.948387096774194,5.42857142857143,11,1.78709677419355,5,6.61306532663317,24,100,7.28387096774194,45,0.662238766266345,0.235702260395516,0.925820099772551,0.075,0.176470588235294,0.175,0.225,0.5,8.75257731958763,0.096774193548387,12.5161290322581,0.483870967741935,49.3548387096774,0.096774193548387,3.12903225806452,0,0.175,0.9,0.580645161290323,14.9354838709677,20,24,2,86,7,0,586,20,4.39573299739389,1529.88466426261,51,39,39,51,38,40,38,38,46,40,38,1,40,40,39,31,85.9607843137255,50,85.921568627451,49.6436781609195,85.9803921568627,49.7011494252874,0,0,86,49.8965517241379,0,0,85.8039215686274,49.735632183908,0.230382293762575,0.401911468812877,0.027162977867203,0,0.038229376257545,0,0.075955734406439,1.74454148471616,0.117903930131004,0,0.165938864628821,0,0.329694323144105,0.067584480600751,0,0.095118898623279,0,0.188986232790989,0,1.40740740740741,0,2.7962962962963,NA,NA,NA,0,1.98684210526316,NA,50,67,2.66666666666667,3,18,1,229,0.333333333333333,0.175945017182131
17,antlr4,org.antlr.v4.gui.TestRig.process(),phd student,5,5,5,0.841463414634146,0,10,0.011211950885729,0.877865853658537,0,399.666666666667,0.025343482208061,0.9,0,1843,0.041675947124368,0.165990993380547,0.777777777777778,5.52238805970149,12,0.126984126984127,1,2.7056856187291,15,100,6.16269841269841,37,0.372924954371873,0.06454972243679,1,0.362068965517241,0.05,0.137931034482759,0.017857142857143,0.189655172413793,8.10625,0.090909090909091,0,0.581818181818182,33.2,0.018181818181818,2.90909090909091,0.127272727272727,0.068965517241379,1.01724137931034,0.690909090909091,2.54545454545455,22,0,3,95,11,1,196,21,4.95840784894497,2752.54571284378,60,58,58,60,58,58,1,55,56,58,54,58,58,56,56,55,97,58.8673469387755,96.9,58.6938775510204,96.9166666666667,58.5510204081633,97,59,97,58.8673469387755,0,0,96.8333333333333,58.5816326530612,0.055264411624583,0.604573606479276,0.064792758456408,0.000476417341591,0.023344449737971,0,0.112910909957122,10.9396551724138,1.17241379310345,0.008620689655172,0.422413793103448,0,2.04310344827586,0.107171000788022,0.000788022064618,0.038613081166273,0,0.186761229314421,0.007352941176471,0.360294117647059,0,1.74264705882353,49,0,237,0,4.83673469387755,NA,46,49,3,0,37,1,734,1,0
17,antlr4,"org.antlr.mojo.antlr4.GrammarDependencies.analyze(java.util.Set<java.io.File>,java.util.Set<java.io.File>,org.antlr.v4.Tool)",phd student,5,5,4,0.75,0,0,0.000166585728977,0.910714285714286,0.809523809523809,1032.66666666667,0.180915354827616,1,1,2755,0.511819486105507,0.243095979094505,0.948387096774194,5.42857142857143,11,1.78709677419355,5,6.61306532663317,24,100,7.28387096774194,45,0.662238766266345,0.235702260395516,0.925820099772551,0.075,0.176470588235294,0.175,0.225,0.5,8.75257731958763,0.096774193548387,12.5161290322581,0.483870967741935,49.3548387096774,0.096774193548387,3.12903225806452,0,0.175,0.9,0.580645161290323,14.9354838709677,20,24,2,86,7,0,586,20,4.39573299739389,1529.88466426261,51,39,39,51,38,40,38,38,46,40,38,1,40,40,39,31,85.9607843137255,50,85.921568627451,49.6436781609195,85.9803921568627,49.7011494252874,0,0,86,49.8965517241379,0,0,85.8039215686274,49.735632183908,0.230382293762575,0.401911468812877,0.027162977867203,0,0.038229376257545,0,0.075955734406439,1.74454148471616,0.117903930131004,0,0.165938864628821,0,0.329694323144105,0.067584480600751,0,0.095118898623279,0,0.188986232790989,0,1.40740740740741,0,2.7962962962963,NA,NA,NA,0,1.98684210526316,NA,50,67,2.66666666666667,3,18,1,149,0.666666666666667,0.461855670103093
17,antlr4,org.antlr.v4.runtime.misc.Array2DHashSet.removeFast(T),phd student,5,5,4,0.75,0,138,0,0.791666666666667,0.5,138,0,0.833333333333333,1,138,0,0.571676015853882,0.56,6.70454545454545,12,0.22,1,3.54794520547945,11,100,4,37,0.589757104579692,0.365148371670111,1,0.192307692307692,0.133333333333333,0.192307692307692,0.043478260869565,0.153846153846154,4.10416666666667,0.181818181818182,0,0.636363636363636,18.1818181818182,0.045454545454546,2.18181818181818,0.181818181818182,0.307692307692308,0.576923076923077,0.227272727272727,2.63636363636364,10,0,2,104,13,2,74,6,4.74242278809581,765.709074034584,30,26,26,28,26,25,26,25,30,26,26,26,26,25,26,26,63.8333333333333,28.8923076923077,63.9666666666667,28.7692307692308,63.9,28.6,64,29,0,0,0,0,63.7666666666667,28.7384615384615,0.166371681415929,0.353982300884956,0.106194690265487,0.001769911504425,0,0,0.143362831858407,2.12765957446809,0.638297872340426,0.01063829787234,0,0,0.861702127659574,0.3,0.005,0,0,0.405,0.016666666666667,0,0,1.35,0,0,81,NA,NA,NA,11,11,2.5,1,18,1,48,0.666666666666667,0.600687285223368
17,antlr4,org.antlr.v4.test.runtime.java.api.TestTokenStreamRewriter.testToStringStartStop2(),phd student,5,5,2,0.5,0,388,0,0.833333333333333,0.5,1479.25,0,1,1,1843,0,0.238389030098915,0.78698224852071,4.44736842105263,12,0.165680473372781,1,7.40625,31,100,6.59171597633136,37,0,1,0,0.56,0.142857142857143,0.34,0.023255813953488,0,6.8062015503876,0,0.19047619047619,0.166666666666667,32.7142857142857,0,3.07142857142857,0.952380952380952,0.34,0.7,0.595238095238095,3.4047619047619,22,1,3,83,7,6,170,28,5.07177857198081,1860.67053761668,56,48,50,56,1,1,50,50,31,1,32,50,50,49,47,50,85,54.906976744186,84.9821428571429,54.7325581395349,84.9107142857143,54.7906976744186,84.9821428571429,54.9651162790698,84.9821428571429,54.9651162790698,0,0,84.8392857142857,54.8139534883721,0.069767441860465,0.495527728085868,0.016696481812761,0.008944543828265,0.15742397137746,0,0.101967799642218,7.1025641025641,0.239316239316239,0.128205128205128,2.25641025641026,0,1.46153846153846,0.033694344163658,0.018050541516246,0.317689530685921,0,0.205776173285199,0.535714285714286,9.42857142857143,0,6.10714285714286,17.6,0,11.4,0,0.647727272727273,NA,50,65,1,0,34,1,56,0.666666666666667,0.589690721649484
17,antlr4,"org.antlr.v4.runtime.atn.PredictionMode.hasSLLConflictTerminatingPrediction(org.antlr.v4.runtime.atn.PredictionMode,org.antlr.v4.runtime.atn.ATNConfigSet)",phd student,5,5,5,0.517543859649123,0,10,0.006267448483207,0.627952091767881,0.433575,84.5,0.089445943548613,0.730769230769231,1,159,0.172624438614019,0.257516950368881,0.594594594594595,3.8125,9,3.64864864864865,14,6.66666666666667,27,97.875,7.25675675675676,45,0.512342090844638,0.149071198499986,0.930949336251263,0.166666666666667,0.023809523809524,0.083333333333333,0.82051282051282,0.125,9.5,0.142857142857143,0,0.571428571428571,25.5238095238095,0.047619047619048,1.9047619047619,0,0,0.708333333333333,0.19047619047619,2,35,0,3,102,5,0,834,93,4.94108624440353,602.315387771933,126,24,23,126,23,24,24,24,126,24,23,1,1,24,24,24,102.97619047619,124.971153846154,102.952380952381,124.596153846154,102.984126984127,124.788461538462,0,0,0,0,0,0,102.81746031746,124.5,0.891547049441786,0.067340067340067,0.009392167286904,0,0,0,0.010809852915116,0.07553170343868,0.01053468495329,0,0,0,0.012124826078315,0.139473684210526,0,0,0,0.160526315789474,0,0,0,1.15094339622642,NA,NA,NA,NA,NA,NA,126,239,3,2,12,1,11,1,0.977319587628866
